Salitix_Client_Number,salitix_customer_number,Retailer_Product_Number,Retailer_Product_Description,Retailer_Primary_Product_Number
CL012,MOR01,0960023,FAMOUS GROUSE BOURBON CASK70CL,0960023   
CL012,MOR01,0960050,JIM BEAM RED STAG 70CL(32.5%),0960050   
CL012,MOR01,0960133,HIGHLAND PARK 10YO 70CL,0960133   
CL012,MOR01,0965023,LAPHROAIG 10 WHISKY 5CL SAMPLE,0965023   
CL012,MOR01,0966792,FAMOUS GROUSE WHISKY 35CL 40%,0966792
CL012,MOR01,0966793,FAMOUS GROUSE WHISKY 70CL 40%,0966795   
CL012,MOR01,0966795,FAMOUS GROUSE WHISKY 70CL,0966795
CL012,MOR01,0966808,FAMOUS GROUSE WHISKY 1LTR 40%,0966808
CL012,MOR01,0966815,FAMOUS GROUSE SMOKY BLACK 70CL,0966815
CL012,MOR01,0966991,TEACHERS WHISKY 70CL,0966991
CL012,MOR01,0966996,TEACHER'S WHISKY LITRE 40%,0966996
CL012,MOR01,0967114,LAPHROAIG 10YR ISLAY 70CL 40%,0967114
CL012,MOR01,0967120,ARDMORE SINGLE HLAND MALT 70CL,0967122
CL012,MOR01,0967122,THE ARDMORE S/MALT 40% 70CL,0967122
CL012,MOR01,0967125,HIGHLAND PARK 12YO 70CL 40%,0967125
CL012,MOR01,0967126,H/PARK DRAG/LEGEND WHISKY 70CL,0967126
CL012,MOR01,0967154,MACALLAN 1824 GOLD,0967154
CL012,MOR01,0967260,BOWMORE 12YR SCOTCH WHISKY70CL,0967260
CL012,MOR01,0967264,LAPHROAIG 10YRS WHISKY 70CL,0967264
CL012,MOR01,0967265,LAPHROAIG SELECT WHISKY 40% 70,0967265
CL012,MOR01,0967267,LAPHROAIG QTR CASK WHISKY 70CL,
CL012,MOR01,0967269,TOKI SUNTORY WHISKY 70CL,0967269   
CL012,MOR01,0967280,AUCHSHAN AMCN OAK MLT 40% 70CL,0967280
CL012,MOR01,0967424,JIM BEAM BOURBON 70CL 40%,0967424
CL012,MOR01,0967427,JIM BEAM FAMILY PACK 40% 4X5CL,0967427
CL012,MOR01,0967455,JIM BEAM RED STAG 40% 70CL,0967455
CL012,MOR01,0967460,JIM BEAM HONEY 35% 70CL,0967460
CL012,MOR01,0967462,JIM BEAM W/LABEL BOURBON 1L,0967462
CL012,MOR01,0967465,JIM BEAM APPLE 35% 70CL,0967465
CL012,MOR01,0967466,JIM BEAM DOUBLE OAK 43% 70CL,0967466
CL012,MOR01,0967486,MAKERS M/BOURBON WHISKEY 70CL,0967486
CL012,MOR01,0967769,ROKU JAPANESE CRAFT GIN 700ML,0967769
CL012,MOR01,0967900,STOLICHANYA VODKA 70CL 40% (I),0967900
CL012,MOR01,0967901,STOLICH B/BERRY VODKA 70CL (I),0967901
CL012,MOR01,0968761,COURVOISIER VS COGNAC 35CL 40%,0968761
CL012,MOR01,0968765,COURVOISIER VS COGNAC 70CL 40%,0968765
CL012,MOR01,0968775,COURVOISIER VS COGNAC LTR 40%,0968775
CL012,MOR01,0968777,COURVOISIER VSOP 40% 35CL,0968777
CL012,MOR01,0968778,COURVOISIER VSOP 70CL 40%,0968778
CL012,MOR01,0968920,COURVOISIER VSOP COGNAC35CL(I),0968777
CL012,MOR01,0969640,MIDORI MELON LIQUEUR 20%  50CL,0969640
CL012,MOR01,0969654,SOURZ MANGO 15% 70CL,0969654
CL012,MOR01,0969716,SAUZA TEQUILA BLANCO      50CL,0969716
CL012,MOR01,0969946,JIM BEAM KENTUCKY BOURBON 4.5L,0969946
CL012,MOR01,0969948,FAMOUS GROUSE WHISKY 4.5L,0969948
CL012,MOR01,0975000,SOURZ APPLE 70CL 15%,0975000
CL012,MOR01,0975001,SOURZ RASPBERRY 15% 70CL,0975001
CL012,MOR01,0975002,SOURZ TOFFEE APPLE 15% 70CL,0975002
CL012,MOR01,0975003,SOURZ RAINBOW ICE 15% 70CL,0975003
CL012,MOR01,0975004,SOURZ CHERRY 15% 70CL,0975004
CL012,MOR01,0975005,SOURZ PASSION FRUIT 70CL,0975005
CL012,MOR01,0975006,SOURZ PASSION FRUIT 70CL,
CL012,MOR01,0967127,HIGHLAND PARK 12YO 70CL 40%,
CL012,MOR01,1200129,FAMOUS GROUSE WHISKY 1 L TR 40%,
CL012,MOR01,1200317,COURVOISIER VS COGNAC L TR 40%,
CL012,MOR01,0968785,COURVOISIER VS COGNAC 70CL 40%,
CL012,MOR01,0987127,"HIGHLAND PARK 12YO 70Cl 40o/,",
CL012,MOR01,0968815,THE FAMOUS GROUSE SMOKY BLACK 40% 70CL,
CL012,MOR01,0986792,FAMOUS GROUSE WHISKY 35CL 40%,
CL012,MOR01,0969969,FAMOUS GROUSE WHISKY 1LTR 40%,
CL012,MOR01,0,HIGHLAND PARK 12YO 70CL 40%,
CL012,MOR01,0956363,HARVEYS AMONTILLADO 75CL 17.5%,
CL012,MOR01,1200323,JIM BEAM KENTUCKY STRAIGHT BOURBON WHISKEY 1L,
CL012,MOR01,0967285,"LAPHROAIG SELECT WHISKY 40o/, 70CL",
