Product_No,VAT_Rate
51738138,20
54932214,20
85185152,20
54043206,20
83266221,20
77109446,20
85833388,20
50069770,20
83477752,20
50069764,20
85275149,20
62397875,20
85275155,20
57047203,20
50310939,20
85275184,20
85275201,20
85275190,20
51478134,20
53909072,20
85275161,20
85275224,20
85430381,20
86332864,20
85430375,20
85314041,20
86265534,20
82402039,20
85314064,20
82402051,20
85314058,20
83603353,20
85590547,20
85590553,20
83603186,20
85314507,20
80808974,20
82367368,20
86436407,20
86436382,20
86007173,20
86001922,20
58215994,20
78775069,20
