Week,Period,Year,Start_Date,End_Date
1,1,2022,29/12/2021,04/01/2022
2,1,2022,05/01/2022,11/01/2022
3,1,2022,12/01/2022,18/01/2022
1,2,2022,19/01/2022,25/01/2022
2,2,2022,26/01/2022,01/02/2022
3,2,2022,02/02/2022,08/02/2022
1,3,2022,09/02/2022,15/02/2022
2,3,2022,16/02/2022,22/02/2022
3,3,2022,23/02/2022,01/03/2022
1,4,2022,02/03/2022,08/03/2022
2,4,2022,09/03/2022,15/03/2022
3,4,2022,16/03/2022,22/03/2022
1,5,2022,23/03/2022,29/03/2022
2,5,2022,30/03/2022,05/04/2022
3,5,2022,06/04/2022,12/04/2022
1,6,2022,13/04/2022,19/04/2022
2,6,2022,20/04/2022,26/04/2022
3,6,2022,27/04/2022,03/05/2022
1,7,2022,04/05/2022,10/05/2022
2,7,2022,11/05/2022,17/05/2022
3,7,2022,18/05/2022,24/05/2022
1,8,2022,25/05/2022,31/05/2022
2,8,2022,01/06/2022,07/06/2022
3,8,2022,08/06/2022,14/06/2022
1,9,2022,15/06/2022,21/06/2022
2,9,2022,22/06/2022,28/06/2022
3,9,2022,29/06/2022,05/07/2022
4,9,2022,06/07/2022,12/07/2022
1,10,2022,13/07/2022,19/07/2022
2,10,2022,20/07/2022,26/07/2022
3,10,2022,27/07/2022,02/08/2022
1,11,2022,03/08/2022,09/08/2022
2,11,2022,10/08/2022,16/08/2022
3,11,2022,17/08/2022,23/08/2022
1,12,2022,24/08/2022,30/08/2022
2,12,2022,31/08/2022,06/09/2022
3,12,2022,07/09/2022,13/09/2022
1,13,2022,14/09/2022,20/09/2022
2,13,2022,21/09/2022,27/09/2022
3,13,2022,28/09/2022,04/10/2022
1,14,2022,05/10/2022,11/10/2022
2,14,2022,12/10/2022,18/10/2022
3,14,2022,19/10/2022,25/10/2022
1,15,2022,26/10/2022,01/11/2022
2,15,2022,02/11/2022,08/11/2022
3,15,2022,09/11/2022,15/11/2022
1,16,2022,16/11/2022,22/11/2022
2,16,2022,23/11/2022,29/11/2022
3,16,2022,30/11/2022,06/12/2022
1,17,2022,07/12/2022,13/12/2022
2,17,2022,14/12/2022,20/12/2022
3,17,2022,21/12/2022,27/12/2022
1,1,2023,28/12/2022,03/01/2023
2,1,2023,04/01/2023,10/01/2023
3,1,2023,11/01/2023,17/01/2023
