Year,Period,Week,Start Date,End Date,Promo Start,Promo End
2019,P17,1,02/12/2019,08/12/2019,04/12/2019,24/12/2019
2019,P17,2,09/12/2019,15/12/2019,04/12/2019,24/12/2019
2019,P17,3,16/12/2019,22/12/2019,04/12/2019,24/12/2019
2020,P1,1,23/12/2019,29/12/2019,26/12/2019,14/01/2020
2020,P1,2,30/12/2019,05/01/2020,26/12/2019,14/01/2020
2020,P1,3,06/01/2020,12/01/2020,26/12/2019,14/01/2020
2020,P2,1,13/01/2020,19/01/2020,15/01/2020,04/02/2020
2020,P2,2,20/01/2020,26/01/2020,15/01/2020,04/02/2020
2020,P2,3,27/01/2020,02/02/2020,15/01/2020,04/02/2020
2020,P3,1,03/02/2020,09/02/2020,05/02/2020,25/02/2020
2020,P3,2,10/02/2020,16/02/2020,05/02/2020,25/02/2020
2020,P3,3,17/02/2020,23/02/2020,05/02/2020,25/02/2020
2020,P4,1,24/02/2020,01/03/2020,26/02/2020,17/03/2020
2020,P4,2,02/03/2020,08/03/2020,26/02/2020,17/03/2020
2020,P4,3,09/03/2020,15/03/2020,26/02/2020,17/03/2020
2020,P5,1,16/03/2020,22/03/2020,18/03/2020,07/04/2020
2020,P5,2,23/03/2020,29/03/2020,18/03/2020,07/04/2020
2020,P5,3,30/03/2020,05/04/2020,18/03/2020,07/04/2020
2020,P6,1,06/04/2020,12/04/2020,08/04/2020,28/04/2020
2020,P6,2,13/04/2020,19/04/2020,08/04/2020,28/04/2020
2020,P6,3,20/04/2020,26/04/2020,08/04/2020,28/04/2020
2020,P7,1,27/04/2020,03/05/2020,29/04/2020,19/05/2020
2020,P7,2,04/05/2020,10/05/2020,29/04/2020,19/05/2020
2020,P7,3,11/05/2020,17/05/2020,29/04/2020,19/05/2020
2020,P8,1,18/05/2020,24/05/2020,20/05/2020,09/06/2020
2020,P8,2,25/05/2020,31/05/2020,20/05/2020,09/06/2020
2020,P8,3,01/06/2020,07/06/2020,20/05/2020,09/06/2020
2020,P9,1,08/06/2020,14/06/2020,10/06/2020,07/07/2020
2020,P9,2,15/06/2020,21/06/2020,10/06/2020,07/07/2020
2020,P9,3,22/06/2020,28/06/2020,10/06/2020,07/07/2020
2020,P9,4,29/06/2020,05/07/2020,10/06/2020,07/07/2020
2020,P10,1,06/07/2020,12/07/2020,08/07/2020,28/07/2020
2020,P10,2,13/07/2020,19/07/2020,08/07/2020,28/07/2020
2020,P10,3,20/07/2020,26/07/2020,08/07/2020,28/07/2020
2020,P11,1,27/07/2020,02/08/2020,29/07/2020,18/08/2020
2020,P11,2,03/08/2020,09/08/2020,29/07/2020,18/08/2020
2020,P11,3,10/08/2020,16/08/2020,29/07/2020,18/08/2020
2020,P12,1,17/08/2020,23/08/2020,19/08/2020,08/09/2020
2020,P12,2,24/08/2020,30/08/2020,19/08/2020,08/09/2020
2020,P12,3,31/08/2020,06/09/2020,19/08/2020,08/09/2020
2020,P13,1,07/09/2020,13/09/2020,09/09/2020,29/09/2020
2020,P13,2,14/09/2020,20/09/2020,09/09/2020,29/09/2020
2020,P13,3,21/09/2020,27/09/2020,09/09/2020,29/09/2020
2020,P14,1,28/09/2020,04/10/2020,30/09/2020,20/10/2020
2020,P14,2,05/10/2020,11/10/2020,30/09/2020,20/10/2020
2020,P14,3,12/10/2020,18/10/2020,30/09/2020,20/10/2020
2020,P15,1,19/10/2020,25/10/2020,21/10/2020,10/11/2020
2020,P15,2,26/10/2020,01/11/2020,21/10/2020,10/11/2020
2020,P15,3,02/11/2020,08/11/2020,21/10/2020,10/11/2020
2020,P16,1,09/11/2020,15/11/2020,11/11/2020,01/12/2020
2020,P16,2,16/11/2020,22/11/2020,11/11/2020,01/12/2020
2020,P16,3,23/11/2020,29/11/2020,11/11/2020,01/12/2020
2020,P17,1,30/11/2020,06/12/2020,02/12/2020,29/12/2020
2020,P17,2,07/12/2020,13/12/2020,02/12/2020,29/12/2020
2020,P17,3,14/12/2020,20/12/2020,02/12/2020,29/12/2020
2020,P17,4,21/12/2020,27/12/2020,02/12/2020,29/12/2020
